next_review,last_review,box,DE,EN-US,ES,FI,FR,HU
,,,miserable Arbeit,sordid labour,trabajo sucio,likainen työ,travail sordide,mocskos munka
,,,"bestürzt (adjective: upset, distraught)",dismayed,"aturdido (adjetivo: stunned, stunned)","tainnutettu (adjektiivi: tainnutettu, tainnutettu)","consterné (adjective: appalled, staggered)","döbbent (melléknév: megdöbbent, megdöbbent)"
,,,etwas zerstreuen,scatter something,dispersar algo,hajottaa jotain,disperser quelque chose,szétszórni valamit
,,,eine Anweisung,an instruction,una instrucción,ohje,une consigne,egy utasítás
,,,etwas planen,plot something,planifiquemos algo,suunnitellaan jotain,tramer quelque chose,tervezzünk valamit
,,,leaken,leak,fuga,vuoto,fuiter,szivárgás
,,,ein Maulwurf,a mole,un topo,myyrä,une taupe,egy vakond
,,,schlagkraeftig,punchy,hits,osumia,percutant,ütős
,,,scheitern,fail,falla,epäonnistua,échouer,fail
,,,berichten,report,Informe,Raportti,rendre compte,jelentés
,,,platzen,burst,ráfaga,burst,éclater,burst
,,,Unergründlich,unfathomable (adjective: Impossible to fathom.),inescrutable,käsittämätön,insondable,kifürkészhetetlen
,,,beweisen,prove,pruebe,todistaa,avérer,bizonyítani
,,,ein Brunnen,a well,un pozo,kaivo,un puit,egy kút
,,,wöchentlich,weekly,inmediatamente,välittömästi,hebdomadaire,heti
,,,gefrieren,freeze,congelación (francés),jäädyttäminen (ranska),geler (francais),fagyasztás (francia)
,,,geschält,peeled,pelado,kuorittu,pelées,hámozott
,,,die Ersparnisse ausgeben,spending savings,gasta tus ahorros,tuhlaa säästösi,dépenser les économies,költsd el a megtakarításokat
,,,Bindfäden,bits of string,cadena de mordiscos,puree merkkijono,bouts de ficelle,bites string
,,,Dromedar (noun: dromedary (single-humped camel)),dromedary (noun: The single-humped camel (Camelus dromedarius).),dromedario,dromedaari,dromadaire,dromedár
,,,Posaunen,trombones,clips,paperiliittimet,trombones,gemkapcsok
,,,kurvig,sinuous,bobinado,käämitys,sinueux,kanyargós
,,,vorsichtig,prudent,prudente,varovainen,prudent,prudens
,,,ausfällen,precipitate (verb: (transitive) To make something happen suddenly and quickly.),"précipiter (verbo: (reflexivo) precipitarse, moverse rápidamente)","précipiter (verbi: (refleksiivinen) kiirehtiä, liikkua nopeasti)","précipiter (verb: (reflexive) to dash, to move quickly)","précipiter (ige: (reflexív) rohanni, gyorsan mozogni)"
,,,gefürchtet,fearsome,impresionante,mahtava,redoutable,félelmetes
,,,der Kompass,the compass,la brújula,kompassi,la boussole,az iránytű
