next_review,last_review,box,EN-US,FR,DE
2025-11-28 22:11:55.649982,1767-01-01 00:00:00,2,a target,une cible,ein Ziel
2025-11-26 22:12:01.413989,1767-01-01 00:00:00,1,advice,consevoir,beraten
2025-11-28 22:12:03.286218,1767-01-01 00:00:00,2,a draft,une ebauche,ein Entwurf
2025-11-26 22:12:05.133917,1767-01-01 00:00:00,1,"generate, arouse",susciter,hervorrufen
2025-11-28 22:12:06.401043,1767-01-01 00:00:00,2,exasperate,exaspérer,zur Verzweiflung bringen
2025-11-26 22:12:07.880048,1767-01-01 00:00:00,1,to remain,demeurer,bleiben
2025-11-28 22:12:09.307143,1767-01-01 00:00:00,2,However,Cependant,Allerdings
2025-11-26 22:12:10.699486,1767-01-01 00:00:00,1,Unanimity,Unanimité,Einstimmigkeit
2025-11-26 22:12:12.053149,1767-01-01 00:00:00,1,a warning,un avertissement,eine Warnung
2025-11-26 22:12:12.909557,1767-01-01 00:00:00,1,the demands,les revendications,die Forderungen
2025-11-28 22:12:13.594991,1767-01-01 00:00:00,2,a decade,une décennie,ein Jahrzehnt
2025-11-26 22:12:14.321504,1767-01-01 00:00:00,1,to reveal,révéler,zu offenbaren
2025-11-28 22:12:16.519441,1767-01-01 00:00:00,2,"relieving, (fun(this is a test))",releve,aufdecken
2025-11-26 22:12:17.632333,1767-01-01 00:00:00,1,requirements,les exigences,die Anforderungen
2025-11-28 22:12:18.608563,1767-01-01 00:00:00,2,an introduction,une instauration,eine Einführung
2025-11-26 22:12:19.965613,1767-01-01 00:00:00,1,"sentenced, convicted",condamné,"verurteilt, schuldig gesprochen"
2025-11-28 22:12:22.456984,1767-01-01 00:00:00,2,to advocate,"défendre, proner",zu befürworten
2025-11-26 22:12:23.376965,1767-01-01 00:00:00,1,erudition,l'érudition,Gelehrsamkeit
2025-11-28 22:12:24.214530,1767-01-01 00:00:00,2,"virtuous, righteuous",vertueux,tugendhaft
2025-11-26 22:12:24.984413,1767-01-01 00:00:00,1,"while, as, whilst",tandis que,während
2025-11-28 22:12:25.761505,1767-01-01 00:00:00,2,taking over,prendre la releve,ablösen
2025-11-26 22:12:26.555605,1767-01-01 00:00:00,1,to meet requierements,pour répondre aux exigences,den Erfordernissen zu genügen
2025-11-28 22:12:27.403781,1767-01-01 00:00:00,2,claim day,jouree de revendication,Anspruchstag
2025-11-26 22:12:28.358494,1767-01-01 00:00:00,1,It works very well,Il fonctionne très bien,Es funktioniert sehr gut
2025-11-28 22:12:29.215418,1767-01-01 00:00:00,2,A lifetime,Toute une vie,Ein leben lang
2025-11-26 22:12:29.932640,1767-01-01 00:00:00,1,Now saving is not good anymore,"Aujourd'hui, l'épargne n'est plus une bonne chose",Jetzt ist Sparen nicht mehr gut
2025-11-28 22:12:30.678518,1767-01-01 00:00:00,2,These are all exhibits,Ce sont tous des objets exposés,Das sind alles Exponate
2025-11-26 22:12:31.374353,1767-01-01 00:00:00,1,I really don't feel like this is very accurate,Je n'ai vraiment pas l'impression que cela soit très exact,"Ich habe wirklich nicht das Gefühl, dass dies sehr zutreffend ist."
2025-11-28 22:12:32.148274,1767-01-01 00:00:00,2,Finally!!,Enfin !,Endlich!!!
