next_review,last_review,box,EN-US,FR,DE
2025-11-28 22:14:39.386099,1767-01-01 00:00:00,2,a target,une cible,ein Ziel
2025-11-28 22:14:41.267958,1767-01-01 00:00:00,2,advice,consevoir,beraten
2025-11-26 22:14:42.714250,1767-01-01 00:00:00,1,a draft,une ebauche,ein Entwurf
2025-11-26 22:14:43.534440,1767-01-01 00:00:00,1,"generate, arouse",susciter,hervorrufen
2025-11-28 22:14:44.802129,1767-01-01 00:00:00,2,exasperate,exaspérer,zur Verzweiflung bringen
2025-11-28 22:14:45.643759,1767-01-01 00:00:00,2,to remain,demeurer,bleiben
2025-11-26 22:14:46.448491,1767-01-01 00:00:00,1,However,Cependant,Allerdings
2025-11-28 22:14:47.901624,1767-01-01 00:00:00,2,Unanimity,Unanimité,Einstimmigkeit
2025-11-28 22:14:48.634877,1767-01-01 00:00:00,2,a warning,un avertissement,eine Warnung
2025-11-26 22:14:49.744835,1767-01-01 00:00:00,1,the demands,les revendications,die Forderungen
2025-11-28 22:14:50.958958,1767-01-01 00:00:00,2,a decade,une décennie,ein Jahrzehnt
2025-11-26 22:14:51.824086,1767-01-01 00:00:00,1,to reveal,révéler,zu offenbaren
2025-11-28 22:14:52.707195,1767-01-01 00:00:00,2,"relieving, (fun(this is a test))",releve,aufdecken
2025-11-26 22:14:53.824958,1767-01-01 00:00:00,1,requirements,les exigences,die Anforderungen
2025-11-28 22:14:54.665086,1767-01-01 00:00:00,2,an introduction,une instauration,eine Einführung
2025-11-28 22:14:55.508891,1767-01-01 00:00:00,2,"sentenced, convicted",condamné,"verurteilt, schuldig gesprochen"
2025-11-26 22:14:56.433959,1767-01-01 00:00:00,1,to advocate,"défendre, proner",zu befürworten
2025-11-28 22:14:57.438980,1767-01-01 00:00:00,2,erudition,l'érudition,Gelehrsamkeit
2025-11-26 22:14:58.182329,1767-01-01 00:00:00,1,"virtuous, righteuous",vertueux,tugendhaft
2025-11-28 22:14:58.965327,1767-01-01 00:00:00,2,"while, as, whilst",tandis que,während
2025-11-26 22:15:00.518492,1767-01-01 00:00:00,1,taking over,prendre la releve,ablösen
2025-11-26 22:15:01.152806,1767-01-01 00:00:00,1,to meet requierements,pour répondre aux exigences,den Erfordernissen zu genügen
2025-11-28 22:15:02.112502,1767-01-01 00:00:00,2,claim day,jouree de revendication,Anspruchstag
2025-11-28 22:15:02.845737,1767-01-01 00:00:00,2,It works very well,Il fonctionne très bien,Es funktioniert sehr gut
2025-11-26 22:15:05.519923,1767-01-01 00:00:00,1,A lifetime,Toute une vie,Ein leben lang
2025-11-26 22:15:06.287675,1767-01-01 00:00:00,1,Now saving is not good anymore,"Aujourd'hui, l'épargne n'est plus une bonne chose",Jetzt ist Sparen nicht mehr gut
2025-11-28 22:15:07.343212,1767-01-01 00:00:00,2,These are all exhibits,Ce sont tous des objets exposés,Das sind alles Exponate
2025-11-28 22:15:08.402708,1767-01-01 00:00:00,2,I really don't feel like this is very accurate,Je n'ai vraiment pas l'impression que cela soit très exact,"Ich habe wirklich nicht das Gefühl, dass dies sehr zutreffend ist."
2025-11-26 22:15:09.256059,1767-01-01 00:00:00,1,Finally!!,Enfin !,Endlich!!!
