En ,De ,Fr  
--- ,--- ,--- 
"investigation, research ","Investigation, Recherche ",Enquête  
contemplative ,nachdenklich ,contemplative  
garantized intrigue ,Spannung garantiert ,intrigue assurée  
the slightest ,das geringste ,le moindre  
As ,,Quant  
software ,Software ,un logiciel  
seductive ,"Einladend, verführerisch ",enventant  
advertisers ,Wertschreibenden ,commanditaires  
dazeling ,fulminant ,fulgurant  
a star ,ein Star ,une vedette  
acclandestine (VPN) ,heimliches (VPN) ,clandestin  
hardness ,Härte ,la durée  
the datum ,Morgendämmerung ,l'aube  
vowel ,Vokal ,voyelle  
from ,ab ,dès  
deprivation ,Entbehrung ,la privation  
arbitrary ,arbitraire ,willkürlich  
cynical ,cynique ,zynisch  
anthropogenic ,anthropique ,anthropogen  
sedentary ,bleibend ,sédentaire  
to break through ,durchbrechen ,percer  
honesty ,Ehrlichkeit ,honnêteté  
to convince ,überzeugen ,convaincre  
to encourage ,,inciter (à agir)  
declarative ,deklarativ ,énonciativ(el)  
connoted ,konnotiert ,connoté  
car ,Auto ,char  
lavish ,prächtig ,sompteux  
indigestible ,unaushaltbar ,indigeste  
to observe/notice ,etaus biobachten ,constater  
swallow ,schlucken ,avaler  
as soon as I not yet ,so bald / noch nicht ,sitôt / pas de stêt  
dizzy ,schwindelig ,étourdi  
attempt ,versuchen ,tenter  
harmful ,schädlich ,néfast(el)  
constantly ,durchgehend ,(sans) cesse  
odds ,Quoten ,les cotes  
