next_review,last_review,box,EN-US,DE,FR
2025-12-04 14:18:57.666935,1767-01-01 00:00:00,2,Willst du nicht langer bleiben? (NEIN!),miserable Arbeit (Die Zeit mit die war schoen),travail sordide (Zuende es and)
2025-12-08 14:19:00.024640,1767-01-01 00:00:00,3,to disperse something,etwas zu zerstreuen,disperser quelque chose
2025-12-08 14:19:01.177043,1767-01-01 00:00:00,3,leak,leaken,fuiter
2025-12-02 14:19:02.415878,1767-01-01 00:00:00,1,an instruction,eine Anweisung,une consigne
2025-12-08 14:19:04.152872,1767-01-01 00:00:00,3,to be dismayed,konsterniert zu sein,être consterné
2025-12-04 14:19:05.559260,1767-01-01 00:00:00,2,plot something,etwas planen,tramer quelque chose
2025-11-27 19:51:39.384255,1767-01-01 00:00:00,1,a mole,ein Maulwurf,une taupe
2025-11-27 19:51:49.436452,1767-01-01 00:00:00,1,sell something,etwas anpreisen,venter quelque chose
2025-11-27 20:04:39.656034,1767-01-01 00:00:00,1,it's punchy,es ist schlagkräftig,c'est percutant
2025-11-27 20:04:44.429618,1767-01-01 00:00:00,1,fail,scheitern,echouer
2025-11-29 20:12:04.539252,1767-01-01 00:00:00,2,report,berichten,rendre compte
2025-11-29 20:12:09.278555,1767-01-01 00:00:00,2,burst,platzen,éclater
2025-11-27 20:12:23.664809,1767-01-01 00:00:00,1,it's unfathomable,es ist unergründlich,c'est insondable
2025-11-29 20:36:05.047256,1767-01-01 00:00:00,2,"It was by analyzing historical data that we realized the trend, something the expert doesn't know.","Erst durch die Analyse der historischen Daten wurde der Trend erkannt, etwas, das der Experte nicht weiß.","C'est en analysant les données historiques que l'on s'est rendu compte de la tendance, chose que l'expert ne sait pas."
2025-11-29 20:37:47.983469,1767-01-01 00:00:00,2, SEQUESTRATION OR ARBITRARY DETENTION, BESCHLAGNAHME ODER WILLKÜRLICHE INHAFTIERUNG, LA SÉQUESTRATION OU LA DÉTENTION ARBITRAIRE
2025-11-29 20:40:51.753366,1767-01-01 00:00:00,2,illicit (adjective: Breaking social norms.),illegal,illicite
